Hiatus_Size,AVW_Length,Apical_Shift,CL_Strain,US_Strain,CL_Material,US_Material,Levator_Plate_PC1,Levator_Plate_PC2
30.06544698,0.913345902,1.012866918,-0.066835391,-0.014897687,238.4706844,144.5603895,-6.782643111,-12.19232093
19.55245512,1.030835889,0.71880509,0.015315741,0.00538251,108.0418084,46.47427658,-22.13529261,-20.56734685
46.04911609,0.840692209,-3.547857387,0.046123778,0.020559387,418.3035924,128.954791,6.807038143,9.833180102
28.4511879,0.875178169,0.348051902,-0.0575148,-0.005436892,302.5317981,202.8283383,-8.16100838,-12.6731911
33.69623511,1.162472085,-4.437443906,0.065786288,0.024819717,186.1691287,233.9596089,-14.16046024,-7.978532771
29.00762508,0.898620586,-0.404060674,-0.020503782,-0.008315731,262.1415344,281.2063467,-14.39162592,-15.91112968
35.70950137,1.19935953,-3.258334866,-0.050726759,-0.021809759,271.6652576,158.2852738,4.358197328,1.53624282
30.7338554,1.164402172,0.009788256,-0.024742893,-0.014498495,108.1962254,119.1429594,-11.14151931,6.272438869
36.53432535,0.979993811,-1.787397041,0.011066999,0.026167322,400.6288675,406.7248487,-1.951099991,-0.103006671
47.88401253,0.879547014,-0.658462681,-0.002744478,-0.005991693,109.7272141,69.55029863,25.75833961,23.61104931
42.48682939,0.851286829,0.300184037,-0.008902578,0.003465405,96.89695873,255.8640109,10.74353984,16.83384063
46.61299782,1.151831649,-6.255740818,0.019919061,0.032677466,158.1778711,288.8673834,2.881344074,16.23257926
22.78858548,0.905053799,5.271940656,0.016077377,0.017743136,278.8986692,209.1852099,-8.0611989,-10.98222613
34.97518166,0.759069678,1.451850949,-0.001428498,0.006722785,132.3391276,260.371301,-1.879743981,3.131553978
