File Name,Part3_E,Pressure,Inner_Radius,Outer_Radius,inner_y1,inner_y2,inner_y3,outer_y1,outer_y2,outer_y3
Part1_E(1.63)Part3_E(2.36)Part7_E(2.34)Part10_E(1.69)Part11_E(1.6),2.36,0.015,1.25,1.75,1.254106308100556,1.25444427875549,1.2548771755976158,-2.264456857,-2.264714181,-2.265139738
Part1_E(2.28)Part3_E(1.37)Part7_E(1.59)Part10_E(2.46)Part11_E(1.87),1.37,0.015,1.25,1.75,1.2573333679022398,1.257805587601459,1.258614864718148,-2.264605216,-2.26497532,-2.265805123
Part1_E(1.91)Part3_E(2.33)Part7_E(1.96)Part10_E(1.63)Part11_E(2.27),2.33,0.015,1.25,1.75,1.251124562652722,1.25148488423227,1.2519233881290035,-2.26105332,-2.261383191,-2.261772309
Part1_E(1.3)Part3_E(1.46)Part7_E(2)Part10_E(2.14)Part11_E(2.5),1.46,0.015,1.25,1.75,1.2542661503292398,1.2549407257518674,1.255548306821509,-2.261652526,-2.262550017,-2.262750793
Part1_E(2.42)Part3_E(1.69)Part7_E(2.23)Part10_E(1.24)Part11_E(1.36),1.69,0.015,1.25,1.75,1.258782022,1.2590957040710804,1.259807952614299,-2.267632207,-2.267955014,-2.268324259
Part1_E(2.01)Part3_E(1.21)Part7_E(1.8)Part10_E(2.24)Part11_E(2.14),1.21,0.015,1.25,1.75,1.256787049081468,1.2573871545899504,1.2582339487864032,-2.263064407,-2.263637565,-2.264496139
Part1_E(2.47)Part3_E(1.49)Part7_E(1.32)Part10_E(1.93)Part11_E(1.03),1.49,0.015,1.25,1.75,1.263921131833154,1.2641705643416712,1.264976413879259,-2.272325151,-2.272623251,-2.272955264
Part1_E(1.87)Part3_E(1.25)Part7_E(1.76)Part10_E(1.83)Part11_E(2.25),1.25,0.015,1.25,1.75,1.2560151799459325,1.2566399130158463,1.257434887593035,-2.262472378,-2.263128736,-2.263837294
Part1_E(1.26)Part3_E(1.25)Part7_E(1.75)Part10_E(1.06)Part11_E(1.74),1.25,0.015,1.25,1.75,1.260664940058927,1.2613772727315813,1.2621765501034117,-2.267458589,-2.268259896,-2.268874174
Part1_E(1.03)Part3_E(2.29)Part7_E(1.84)Part10_E(1.84)Part11_E(1.21),2.29,0.015,1.25,1.75,1.257737735043149,1.2581126467401436,1.2585194015401329,-2.268250668,-2.268588419,-2.268946268
Part1_E(1.73)Part3_E(1.41)Part7_E(1.5)Part10_E(1.2)Part11_E(1.74),1.41,0.015,1.25,1.75,1.2586785012926864,1.2592172022978398,1.2599743745442014,-2.26624157,-2.266744668,-2.267463696
Part1_E(1.28)Part3_E(1.76)Part7_E(1.34)Part10_E(1.07)Part11_E(1.31),1.76,0.015,1.25,1.75,1.2602769714631776,1.2607431945117364,1.2613294789703478,-2.269465734,-2.269881752,-2.270416573
Part1_E(1.81)Part3_E(1.71)Part7_E(1.32)Part10_E(1.34)Part11_E(1.65),1.71,0.015,1.25,1.75,1.257171917753451,1.2576094726042386,1.2582439187742869,-2.265935824,-2.266277037,-2.266916632
Part1_E(1.48)Part3_E(2.37)Part7_E(2.28)Part10_E(1.3)Part11_E(2.4),2.37,0.015,1.25,1.75,1.2509161074058457,1.2513105569795164,1.2517097996554236,-2.260862752,-2.261331134,-2.261528102
Part1_E(1.28)Part3_E(1.24)Part7_E(1.2)Part10_E(2.25)Part11_E(1.75),1.24,0.015,1.25,1.75,1.2606216821238223,1.261334636,1.2621408876262612,-2.267351247,-2.268150169,-2.268777696
Part1_E(1.66)Part3_E(1.12)Part7_E(1.54)Part10_E(1.04)Part11_E(1.22),1.12,0.015,1.25,1.75,1.2672720210869628,1.2678040940591069,1.268822973312354,-2.273611137,-2.274165799,-2.274984856
Part1_E(1.71)Part3_E(1.92)Part7_E(1.44)Part10_E(1.28)Part11_E(2.22),1.92,0.015,1.25,1.75,1.253068555942802,1.253519918330319,1.254045861685524,-2.262111607,-2.262577427,-2.262992492
Part1_E(1.02)Part3_E(1.84)Part7_E(1.53)Part10_E(2.11)Part11_E(2.28),1.84,0.015,1.25,1.75,1.2538849050973608,1.254454888369136,1.2549370757218945,-2.262696031,-2.263484023,-2.263556023
Part1_E(1.19)Part3_E(1.12)Part7_E(2.21)Part10_E(2.48)Part11_E(2.45),1.12,0.015,1.25,1.75,1.2563082611163805,1.2571937031855356,1.2579375248128437,-2.261914017,-2.26312813,-2.263333615
Part1_E(1.77)Part3_E(1.84)Part7_E(2.27)Part10_E(1.69)Part11_E(2.46),1.84,0.015,1.25,1.75,1.2523479585838857,1.2528243205772347,1.2533608570575574,-2.261057283,-2.261580629,-2.261960362
Part1_E(1.18)Part3_E(1.37)Part7_E(1.69)Part10_E(1.93)Part11_E(2.22),1.37,0.015,1.25,1.75,1.2563990766419348,1.257123041940059,1.2577866931926294,-2.263526147,-2.264472956,-2.26473781
