File Name,Part1_E,Part3_E,Part11_E,Pressure,Inner_Radius,Outer_Radius,inner_y1,inner_y2,inner_y3,outer_y1,outer_y2,outer_y3,innerShape_x1,innerShape_x2,innerShape_x3
Part1_E(2.25)Part3_E(1.94)Part11_E(1.81),2.25,1.94,1.81,0.015,1.25,1.75,1.254419113137223,1.2547801760760162,1.2553540937614764,-2.2637271211610304,-2.263974789322997,-2.2645525816488523,-0.17676386196104,0.7224022818663086,1.2585237971660137
Part1_E(1.52)Part3_E(1.62)Part11_E(2.42),1.52,1.62,2.42,0.015,1.25,1.75,1.2536800171874036,1.2542498096474053,1.2548350047574428,-2.261714724687929,-2.2624051146072843,-2.262731157050617,-0.1769934411126167,0.7257709795524941,1.264872190175892
Part1_E(2.41)Part3_E(1.98)Part11_E(1.15),2.41,1.98,1.15,0.015,1.25,1.75,1.2583640761427046,1.2586184836211018,1.2592136034730617,-2.268208963523046,-2.268457593464126,-2.2687191243113736,0.1778818789869256,-0.7202238794287276,-1.2543748255189282
Part1_E(2.03)Part3_E(2.07)Part11_E(1.33),2.03,2.07,1.33,0.015,1.25,1.75,1.2568343055996976,1.257141399359357,1.257686578349759,-2.2667594321765714,-2.2670483545743947,-2.267348223352854,-0.1767245000146057,0.7221386431089905,1.2577652270967423
Part1_E(1.53)Part3_E(1.1)Part11_E(2.35),1.53,1.1,2.35,0.015,1.25,1.75,1.2565907421434157,1.2573776588565104,1.258201398873586,-2.262079978751157,-2.263050677950156,-2.2635727848056653,0.179356376960095,-0.726801723402072,-1.266654641550975
Part1_E(1.73)Part3_E(1.85)Part11_E(1.77),1.73,1.85,1.77,0.015,1.25,1.75,1.2556662442242406,1.256096736612858,1.2566699132955013,-2.264767317684582,-2.265151370068572,-2.265680281814219,-0.176842116544917,0.7237929935338977,1.2609725613511242
Part1_E(1.3)Part3_E(1.09)Part11_E(1.06),1.3,1.09,1.06,0.015,1.25,1.75,1.2711953732958954,1.2718530719371717,1.2728070457613787,-2.277578925546942,-2.2780416643276085,-2.279134630963952,0.179404361972856,-0.7277390679521617,-1.267733706057793
Part1_E(1.79)Part3_E(1.49)Part11_E(1.83),1.79,1.49,1.83,0.015,1.25,1.75,1.2573860314333136,1.257901274360482,1.2586163049103334,-2.2652333523042647,-2.26570925184888,-2.266390636411273,0.1786360940204125,-0.7232700219005557,-1.2600844494046235
Part1_E(2.07)Part3_E(1.15)Part11_E(1.86),2.07,1.15,1.86,0.015,1.25,1.75,1.259202977833164,1.2597743225426683,1.2607049545765778,-2.2652643186709622,-2.265758986611789,-2.266728187136153,0.1787630530130131,-0.724900728683225,-1.263033464082593
Part1_E(1.38)Part3_E(1.25)Part11_E(2.02),1.38,1.25,2.02,0.015,1.25,1.75,1.2581872363363722,1.2589008630967016,1.259675038426766,-2.264797235274316,-2.265635171904648,-2.2661749336167336,0.1793023578062453,-0.7259746728330203,-1.2650572904713753
Part1_E(1.26)Part3_E(1.11)Part11_E(1.27),1.26,1.11,1.27,0.015,1.25,1.75,1.2675740359994458,1.2682689804020426,1.2692247889611548,-2.273871349193688,-2.274536873599684,-2.275458964472155,0.1794955340805915,-0.7277001349296909,-1.2678107158072447
Part1_E(1.39)Part3_E(2.01)Part11_E(2.48),1.39,2.01,2.48,0.015,1.25,1.75,1.2519795947808954,1.2524608850444856,1.2529226710318198,-2.26113414886166,-2.261744650641304,-2.2619236685571344,-0.1768674476606928,0.7239733581607294,1.2613652557452908
Part1_E(1.86)Part3_E(1.8)Part11_E(2.35),1.86,1.8,2.35,0.015,1.25,1.75,1.252874459851341,1.2533432981884371,1.2539062028518215,-2.261516802228549,-2.2619956225925173,-2.2624586068596253,-0.1768634902348955,0.7238590748968445,1.261349465136395
Part1_E(2.41)Part3_E(2.13)Part11_E(2.21),2.41,2.13,2.21,0.015,1.25,1.75,1.2516696410957495,1.252017997590213,1.2525305899254626,-2.261214142897632,-2.2614696809872448,-2.2619846186369985,-0.1767073733378774,0.7215225675859367,1.2569972784341763
Part1_E(1.66)Part3_E(1.79)Part11_E(1.92),1.66,1.79,1.92,0.015,1.25,1.75,1.2552159953230246,1.2556820508252846,1.2562622219637956,-2.264059444491265,-2.264497503754128,-2.2650311707848028,-0.1768798131413952,0.7242992416898489,1.2619612855849671
Part1_E(2.46)Part3_E(2.4)Part11_E(2.48),2.46,2.4,2.48,0.015,1.25,1.75,1.2498369173245525,1.2501597529202304,1.250603799391706,-2.259800042944448,-2.2600445683889574,-2.260485713833912,-0.1766398284127286,0.7206392385407441,1.2553679249670746
Part1_E(1.68)Part3_E(1.42)Part11_E(1.65),1.68,1.42,1.65,0.015,1.25,1.75,1.2593974652425133,1.2599307159807307,1.2606861891420644,-2.2670760462331545,-2.267527222014866,-2.2683015985952544,0.1787564470911015,-0.7239180961415979,-1.2611977833978627
Part1_E(2.2)Part3_E(1.38)Part11_E(2.43),2.2,1.38,2.43,0.015,1.25,1.75,1.2540493347383364,1.2545885670551176,1.2553264424659532,-2.26107465191242,-2.2615920232302424,-2.2623112552515705,0.1785351190134355,-0.7231545564909644,-1.2600236431579526
Part1_E(1.28)Part3_E(2.49)Part11_E(1.46),1.28,2.49,1.46,0.015,1.25,1.75,1.2546553199163737,1.254994200380432,1.2553789753448086,-2.2653198119153872,-2.2656144575822417,-2.265967204698513,-0.1766958714197874,0.7220134167545265,1.2573461283393514
Part1_E(2.25)Part3_E(1.58)Part11_E(2.49),2.25,1.58,2.49,0.015,1.25,1.75,1.2528570872690563,1.2533401394148165,1.2539935049708024,-2.2606945071520417,-2.261142785757788,-2.261777869015373,0.1783596756513684,-0.7220443351628585,-1.2580072850949435
Part1_E(2.22)Part3_E(1.41)Part11_E(2.2),2.22,1.41,2.2,0.015,1.25,1.75,1.255089740862334,1.2555973036122072,1.25634842135008,-2.262361419187436,-2.262839299817983,-2.2635539922680783,0.1784768490092802,-0.7229468908044625,-1.2595882536675158
Part1_E(1.62)Part3_E(2.44)Part11_E(2.35),1.62,2.44,2.35,0.015,1.25,1.75,1.250731086210383,1.2511004318272911,1.2514979555010586,-2.2608234491518067,-2.2612276068078203,-2.261480299496218,-0.1766936093641251,0.7216950702244819,1.257115308495952
Part1_E(1.43)Part3_E(1.31)Part11_E(1.32),1.43,1.31,1.32,0.015,1.25,1.75,1.2641079096146686,1.264678066928178,1.2654995584202546,-2.2715346556582503,-2.272008074157648,-2.272845794948948,0.1790408920555218,-0.7253238075191415,-1.2635962584689238
Part1_E(1.22)Part3_E(2.49)Part11_E(2.4),1.22,2.49,2.4,0.015,1.25,1.75,1.25074977396116,1.2511449888621569,1.2515053485963132,-2.2609073369607926,-2.2614283095188608,-2.261512146495019,-0.1767439222826598,0.7223296275313043,1.2581602042800288
Part1_E(1.41)Part3_E(1.2)Part11_E(1.73),1.41,1.2,1.73,0.015,1.25,1.75,1.2609106751422716,1.2616032032802158,1.262451952317536,-2.2674122678053656,-2.268142945790633,-2.2688923246415347,0.1792776634955884,-0.7262936257085876,-1.265515910623287
Part1_E(2.29)Part3_E(1.89)Part11_E(2.36),2.29,1.89,2.36,0.015,1.25,1.75,1.2521044201746083,1.2525099695760564,1.2530737499054034,-2.2609871441229648,-2.2613471974760326,-2.2618734465002786,-0.1767909867257421,0.7226382589361358,1.2591589087476376
Part1_E(2.21)Part3_E(2.31)Part11_E(2.24),2.21,2.31,2.24,0.015,1.25,1.75,1.251061716234731,1.2514013173256555,1.2518608393178456,-2.260965321738296,-2.2612273318945446,-2.2616839954621355,-0.1766718951941314,0.7211949134620872,1.2563209729224418
Part1_E(2.16)Part3_E(1.2)Part11_E(1.5),2.16,1.2,1.5,0.015,1.25,1.75,1.262034754638795,1.2624928691259476,1.2634661134888847,-2.26860547952863,-2.269113608748167,-2.269725432362611,0.178604019828429,-0.7243371615530405,-1.2618719960205032
Part1_E(1.53)Part3_E(2.2)Part11_E(1.9),1.53,2.2,1.9,0.015,1.25,1.75,1.253474637467306,1.2538692442102513,1.2543263790377657,-2.263339476244849,-2.263721382188177,-2.2641023603566417,-0.1767595659727168,0.7226905629993798,1.2588467643378367
Part1_E(2.14)Part3_E(1.22)Part11_E(1.03),2.14,1.22,1.03,0.015,1.25,1.75,1.2678605946127368,1.2681933033754156,1.269180987060055,-2.2749553360200685,-2.2753631946306583,-2.275816812180921,0.1785063409831122,-0.7242210263603985,-1.261430612506866
Part1_E(1.28)Part3_E(2.29)Part11_E(2.08),1.28,2.29,2.08,0.015,1.25,1.75,1.252573816656285,1.2529868689545431,1.253400317562902,-2.262522688321157,-2.2630101985709827,-2.2632215270357188,-0.1767811215253754,0.7229219376711208,1.2592243398318903
Part1_E(1.27)Part3_E(1.07)Part11_E(1.85),1.27,1.07,1.85,0.015,1.25,1.75,1.2611223329589876,1.2619493609323855,1.26285050590477,-2.266695917692432,-2.267674254374505,-2.2683279151653744,0.1796696676446294,-0.7280853001872495,-1.2687989682471457
Part1_E(1.65)Part3_E(1.44)Part11_E(2.02),1.65,1.44,2.02,0.015,1.25,1.75,1.2566142666216422,1.2571902136833275,1.2578981484792988,-2.2641450138241783,-2.264738509376676,-2.265354740665971,0.1788188627908526,-0.7238726489875351,-1.2612397163450566
Part1_E(1.22)Part3_E(1.49)Part11_E(2.08),1.22,1.49,2.08,0.015,1.25,1.75,1.2565148691176566,1.2571640861100712,1.2578002134462718,-2.264240906706953,-2.265048531675764,-2.265375343627952,-0.1771204468448097,0.7277303780014724,1.2682833045233934
Part1_E(1.83)Part3_E(1.49)Part11_E(2.2),1.83,1.49,2.2,0.015,1.25,1.75,1.2550656969739802,1.255610556741666,1.2562941583015357,-2.262702831566104,-2.2632548118491616,-2.2638605753819685,0.1786545966573192,-0.7232014260835289,-1.260062475826936
Part1_E(2.26)Part3_E(2.34)Part11_E(1.5),2.26,2.34,1.5,0.015,1.25,1.75,1.254081943622426,1.2543573400144714,1.2548395551573257,-2.2644273241247013,-2.264678140288296,-2.264946376220379,-0.1766424650375496,0.720904450957337,1.2555713611813388
Part1_E(1.59)Part3_E(2.3)Part11_E(2.32),1.59,2.3,2.32,0.015,1.25,1.75,1.2513280118376544,1.2517218517846245,1.2521451224576443,-2.261178475993192,-2.2616139015384737,-2.2618822776768948,-0.1767356433399195,0.7222491833337253,1.2581465334738116
Part1_E(1.03)Part3_E(1.95)Part11_E(1.7),1.03,1.95,1.7,0.015,1.25,1.75,1.25644974468641,1.2569471089895763,1.2574369094675375,-2.265877850641874,-2.2664644964793186,-2.266730306878497,-0.1769494060704212,0.725250293384614,1.2633111977607148
Part1_E(1.87)Part3_E(1.99)Part11_E(1.71),1.87,1.99,1.71,0.015,1.25,1.75,1.2550914293763102,1.2554737343193425,1.2560140975153755,-2.264595734825525,-2.2648833562195088,-2.2654234959823443,-0.1767765565402317,0.7228409253774557,1.2591965424058582
Part1_E(1.04)Part3_E(1.81)Part11_E(2.47),1.04,1.81,2.47,0.015,1.25,1.75,1.2531489641493934,1.25373507308237,1.2542114779297906,-2.261784973845555,-2.262619141855608,-2.262639695530529,-0.177046203806929,0.7262385683294085,1.2654225822929084
Part1_E(1.61)Part3_E(1.55)Part11_E(1.31),1.61,1.55,1.31,0.015,1.25,1.75,1.261488519470408,1.2619671778151,1.262644553724732,-2.269977339674822,-2.2702773549947333,-2.2710556982491763,0.1786341525330333,-0.7232855644507642,-1.2599442428045615
Part1_E(1.21)Part3_E(2.47)Part11_E(2.05),1.21,2.47,2.05,0.015,1.25,1.75,1.2520719461214838,1.2524568780183587,1.25283208582169,-2.262358268440498,-2.262821293228379,-2.262990454945156,-0.1767392495743244,0.7223688180966801,1.2581514126109343
Part1_E(1.15)Part3_E(1.09)Part11_E(1.05),1.15,1.09,1.05,0.015,1.25,1.75,1.27183732771194,1.2725220041992618,1.273500288066182,-2.2782341437529428,-2.278814426918396,-2.279815723768504,0.1796321377590929,-0.7284000221117242,-1.2689235960561978
Part1_E(1.97)Part3_E(2.47)Part11_E(1.67),1.97,2.47,1.67,0.015,1.25,1.75,1.252926334940389,1.2532282450508032,1.2536547212217335,-2.263417283514629,-2.263620106897026,-2.264043366520919,-0.1766329498871706,0.7209285185060641,1.255603496629944
Part1_E(2.26)Part3_E(1.88)Part11_E(1.72),2.26,1.88,1.72,0.015,1.25,1.75,1.2552153538816109,1.2555957581888373,1.2561676310165577,-2.264435958014189,-2.264622187320123,-2.2653139226880965,-0.1767798376021554,0.7226168785904619,1.258905638649158
Part1_E(2.31)Part3_E(1.74)Part11_E(1.19),2.31,1.74,1.19,0.015,1.25,1.75,1.2599932533514353,1.260286167301856,1.2609712093629772,-2.269148057621796,-2.269447807138218,-2.2697727735613578,0.1780646039286789,-0.7212196454308976,-1.2561655361151811
